ikey	Location	Source	Chronological Frame	Language
PH279808	Chalcedon	SEG 31: 1062	---	Greek
PH279824	Chalcedon	SEG 35: 1301	---	Greek
PH279830	Chalcedon	SEG 36: 1144	---	Greek
PH279849	Chalcedon	SEG 37: 1024	---	Greek
PH279850	Chalcedon	SEG 37: 1026	---	Greek
PH279851	Chalcedon	SEG 37: 1027	---	Greek
PH279852	Chalcedon	SEG 37: 1028	---	Greek
PH279854	Chalcedon	SEG 37: 1030	---	Greek
PH279855	Chalcedon	SEG 37: 1031	---	Greek
PH279857	Chalcedon	SEG 37: 1034,1	---	Greek
PH279858	Chalcedon	SEG 37: 1034,2	---	Greek
PH279859	Chalcedon	SEG 37: 1034,3	---	Greek
PH279860	Chalcedon	SEG 37: 1034,4	---	Greek
PH279861	Chalcedon	SEG 37: 1034,5	---	Greek
PH279862	Chalcedon	SEG 37: 1035	---	Greek
PH279864	Chalcedon	SEG 37: 1037	---	Greek
PH279865	Chalcedon	SEG 37: 1038,1	---	Greek
PH279866	Chalcedon	SEG 37: 1038,2	---	Greek
PH279867	Chalcedon	SEG 37: 1038,3	---	Greek
PH279868	Chalcedon	SEG 37: 1039	---	Greek
PH279869	Chalcedon	SEG 37: 1041	---	Greek
PH279870	Chalcedon	SEG 37: 1042	---	Greek
PH279871	Chalcedon	SEG 37: 1043	---	Greek
PH279872	Chalcedon	SEG 37: 1044	---	Greek
PH279877	Chalcedon	SEG 37: 1049	---	Greek
PH279878	Chalcedon	SEG 37: 1050	---	Greek
PH279879	Chalcedon	SEG 37: 1051	---	Greek
PH279880	Chalcedon	SEG 37: 1052,1	---	Greek
PH279881	Chalcedon	SEG 37: 1053	---	Greek
PH279882	Chalcedon	SEG 37: 1054,4	---	Greek
PH279883	Chalcedon	SEG 37: 1054,5	---	Greek
PH279885	Chalcedon	SEG 37: 1056	---	Greek
PH279886	Chalcedon	SEG 37: 1057	---	Greek
PH279887	Chalcedon	SEG 37: 1058	---	Greek
PH279888	Chalcedon	SEG 37: 1059	---	Greek
PH279889	Chalcedon	SEG 37: 1060	---	Greek
PH279890	Chalcedon	SEG 37: 1061	---	Greek
PH279892	Chalcedon	SEG 37: 1064	---	Greek
PH279894	Chalcedon	SEG 37: 1066	---	Greek
PH279896	Chalcedon	SEG 37: 1068	---	Greek
	Claudiopolis	SEG 51: 1708	Roman Imperial period	Greek
	Claudiopolis	SEG 58: 1431	Roman Imperial period	Greek
	Claudiopolis	SEG 58: 1432	Roman Imperial period	Greek
PH279380	Claudiopolis	IK Klaudiu Polis 16	Roman Imp. period	Greek
PH279836	Claudiopolis	SEG 36: 1151,1	Roman Imp. period	Greek
PH279837	Claudiopolis	SEG 36: 1151,2	Roman Imp. period	Greek
	Claudiopolis	SEG 58: 1425	---	Greek
	Claudiopolis	SEG 58: 1428	---	Greek
	Claudiopolis	SEG 58: 1435	---	Greek
	Claudiopolis	SEG 58: 1436	---	Greek
PH279420	Claudiopolis	IK Klaudiu Polis 59	middle 2nd c. AD	Greek
PH279408	Claudiopolis	IK Klaudiu Polis 44	end of the 3rd c. AD	Greek
	Claudiopolis	SEG 58: 1418	end of the 2nd century AD	Greek
	Claudiopolis	SEG 58: 1442	Christian	Greek
	Claudiopolis	SEG 58: 1443	Christian	Greek
	Claudiopolis	SEG 58: 1444	Christian	Greek
PH279417	Claudiopolis	IK Klaudiu Polis 56	ca. 130 AD	Greek
PH279371	Claudiopolis	IK Klaudiu Polis 7	ca. 130 AD	Greek
	Claudiopolis	SEG 58: 1419	Antonine or Severan	Greek
	Claudiopolis	SEG 58: 1427	Antonine or Severan	Greek
	Claudiopolis	SEG 58: 1421	AD 79 - 81	Greek
	Claudiopolis	AE 2007, 1323; SEG 57: 1272	AD 150 - 190	Greek
	Claudiopolis	SEG 58: 1416	AD 130 - 138	Greek
	Claudiopolis	SEG 58: 1420	AD 130 - 138	Greek
	Claudiopolis	SEG 58: 1417	AD 117 - 138	Greek
	Claudiopolis	SEG 58: 1441	6th - 8th century AD	Greek
	Claudiopolis	SEG 58: 1423	3rd century AD	Greek
	Claudiopolis	SEG 58: 1424	3rd century AD	Greek
PH279731	Claudiopolis	DenkschrWien 75,1, 40, 79	3rd c. AD	Greek
PH279733	Claudiopolis	DenkschrWien 75,1, 53, 135	3rd c. AD	Greek
PH279734	Claudiopolis	DenkschrWien 75,1, 54, 136	3rd c. AD	Greek
PH279736	Claudiopolis	DenkschrWien 75,1, 54, 138	3rd c. AD	Greek
PH279506	Claudiopolis	IK Klaudiu Polis 144	3rd c. AD	Greek
PH279373	Claudiopolis	IK Klaudiu Polis 9	3rd – 4th c. AD	Greek
	Claudiopolis	SEG 58: 1429	2nd/early 3rd century AD	Greek
	Claudiopolis	SEG 60: 1336	2nd/early 3rd century AD	Greek
	Claudiopolis	SEG 58: 1426	2nd/3rd century AD	Greek
	Claudiopolis	SEG 58: 1437	2nd/3rd century AD	Greek
	Claudiopolis	SEG 58: 1434	2nd century AD	Greek
PH279917	Claudiopolis	SEG 39: 1339	2nd c. AD?	Greek
PH279432	Claudiopolis	IK Klaudiu Polis 71	2nd c. AD	Greek
PH279918	Claudiopolis	SEG 39: 1340	2nd c. AD	Greek
	Claudiopolis	SEG 58: 1422	2nd - 3rd century AD	Greek
PH279732	Claudiopolis	DenkschrWien 75,1, 42, 86	293–305 AD	Latin
HD002091	Claudiopolis	AE 1984, 0825;                       EpigrAnat 4, 151–156; Pl. 15/16	284–324 AD	Latin
PH279416	Claudiopolis	IK Klaudiu Polis 55	249–251 AD	Latin
PH279367	Claudiopolis	IK Klaudiu Polis 3	235–313 AD	Latin
PH279415	Claudiopolis	IK Klaudiu Polis 54	218 AD	Latin
PH279714	Claudiopolis	BCH 24, 426, 141	210–211 AD	Greek
PH279431	Claudiopolis	IK Klaudiu Polis 70	1st c. AD	Greek
HD043638	Claudiopolis	AE 2002, 1350	198 AD	Greek
PH279423	Claudiopolis	IK Klaudiu Polis 62	145 or 204 AD?	Greek
PH279413	Claudiopolis	IK Klaudiu Polis 52	134 AD	Greek
PH279414	Claudiopolis	IK Klaudiu Polis 53	134 AD	Greek
PH279412	Claudiopolis	IK Klaudiu Polis 51	131 AD	Greek
PH279366	Claudiopolis	IK Klaudiu Polis 2	117–138 AD?	Greek
PH279364	Claudiopolis	IK Klaudiu Polis 1,A	117–138 AD	Greek
PH279365	Claudiopolis	IK Klaudiu Polis 1,B	117–138 AD	Greek
	Claudiopolis	AE 1999, 1503	---	Greek
PH279711	Claudiopolis	BCH 24, 418, 118	---	Greek
PH279712	Claudiopolis	BCH 24, 422, 133	---	Greek
PH279713	Claudiopolis	BCH 24, 422, 134	---	Greek
PH279715	Claudiopolis	BCH 24, 426, 142	---	Greek
PH279716	Claudiopolis	BCH 24, 426, 143	---	Greek
PH279717	Claudiopolis	BCH 27, 323, 22	---	Greek
