"","ikey","Location","Source","Chronological.Frame","Language"
"176","PH279242","Chalcedon","IK Kalchedon 16","4th c. BC","Greek"
"177","PH279251","Chalcedon","IK Kalchedon 22[1]","452 AD","Greek"
"178","PH279818","Chalcedon","SEG 34: 1262","452 AD","Greek"
"179","PH279250","Chalcedon","IK Kalchedon 22","450 AD","Greek"
"180","PH279778","Chalcedon","SEG 27: 816","3rd quarter of the 6th c. BC","Greek"
"181","PH279785","Chalcedon","SEG 28: 1661","3rd c. BC?","Greek"
"182","PH279239","Chalcedon","IK Kalchedon 13","3rd c. BC","Greek"
"183","PH279257","Chalcedon","IK Kalchedon 31","3rd c. BC","Greek"
"184","PH279273","Chalcedon","IK Kalchedon 47","3rd c. BC","Greek"
"185","PH279236","Chalcedon","IK Kalchedon 10","3rd - 2nd c. BC","Greek"
"186","PH279786","Chalcedon","SEG 28: 1662","3rd - 2nd c. BC","Greek"
"187","PH279261","Chalcedon","IK Kalchedon 35","340/339 BC","Greek"
"188","PH279228","Chalcedon","IK Kalchedon 2","2nd c. BC","Greek"
"189","PH279863","Chalcedon","SEG 37: 1036","2nd - 3rd c. AD","Greek"
"190","PH279913","Chalcedon","SEG 38: 1274","2nd - 3rd c. AD","Greek"
"191","PH279246","Chalcedon","IK Kalchedon 20","293-305 AD","Latin"
"192","PH279245","Chalcedon","IK Kalchedon 19","27 BC-14 AD","Greek"
"193","PH279329","Chalcedon","IK Kalchedon 103","206 AD","Greek"
"194","","Chalcedon","SEG 60: 1335","1st century AD","Greek"
"195","PH279238","Chalcedon","IK Kalchedon 12","1st c. BC - 1st c. AD","Greek"
"196","PH279884","Chalcedon","SEG 37: 1055","1st c. BC","Greek"
"197","PH279828","Chalcedon","SEG 36: 1142","1st c. AD?","Greek"
"198","PH279829","Chalcedon","SEG 36: 1143","1st c. AD?","Greek"
"199","HD006526","Chalcedon","AE 1986, 0642;                            EpigrAnat 5, 119-120, 48","151-212 AD","Latin"
"200","PH279240","Chalcedon","IK Kalchedon 14","1 BC","Greek"
"201","PH279326","Chalcedon","IK Kalchedon 100","---","Greek"
"202","PH279327","Chalcedon","IK Kalchedon 101","---","Greek"
"203","PH279328","Chalcedon","IK Kalchedon 102","---","Greek"
"204","PH279330","Chalcedon","IK Kalchedon 104","---","Greek"
"205","PH279331","Chalcedon","IK Kalchedon 105","---","Greek"
"206","PH279333","Chalcedon","IK Kalchedon 107","---","Greek"
"207","PH279334","Chalcedon","IK Kalchedon 108","---","Greek"
"208","PH279335","Chalcedon","IK Kalchedon 109,1","---","Greek"
"209","PH279336","Chalcedon","IK Kalchedon 109,2","---","Greek"
"210","PH279337","Chalcedon","IK Kalchedon 109,3","---","Greek"
"211","PH279338","Chalcedon","IK Kalchedon 109,4","---","Greek"
